# 사전 예상(고정): 동행 상관 양(+) 치우침 / 선행 상관 0 중심 — A 검증(갭 선취)과 정합해야 함. 전략화 금지, 기술 통계 전용
시장,코드,n주,r_동행,r_선행1,r_선행2,r_선행4,수급동행
KOSPI,007860,52,0.407,0.05,-0.199,0.14,상
KOSPI,007980,52,0.335,0.148,0.057,-0.102,상
KOSPI,008040,52,-0.058,0.058,0.071,0.175,하
KOSPI,008060,52,0.173,0.071,-0.183,-0.183,중
KOSPI,00806K,52,0.058,0.168,-0.012,0.163,중
KOSPI,008110,2,-1.0,,,,
KOSPI,008250,52,-0.025,-0.265,0.088,-0.029,하
KOSPI,008260,52,0.194,0.037,0.038,0.233,중
KOSPI,008350,52,0.191,-0.127,-0.175,-0.066,중
KOSPI,008355,30,-0.08,-0.257,-0.234,-0.596,
KOSPI,008420,52,-0.163,-0.109,-0.269,0.207,하
KOSPI,008490,52,-0.013,0.107,-0.034,-0.026,하
KOSPI,008500,48,-0.038,-0.1,0.016,-0.061,하
KOSPI,008600,35,-0.032,0.121,0.083,0.047,
KOSPI,008700,52,0.021,-0.134,-0.059,0.092,중
KOSPI,008730,52,0.314,0.092,-0.029,-0.118,상
KOSPI,008770,52,0.553,0.026,0.03,-0.211,상
KOSPI,008775,52,0.033,0.218,0.033,-0.068,중
KOSPI,008870,52,0.075,-0.029,0.156,0.168,중
KOSPI,008930,52,-0.223,-0.031,0.062,0.103,하
KOSPI,008970,50,-0.022,-0.037,0.051,0.069,하
KOSPI,009070,52,-0.112,0.054,-0.09,0.144,하
KOSPI,009140,52,-0.118,0.13,0.428,0.158,하
KOSPI,009150,52,0.109,-0.158,-0.126,-0.114,중
KOSPI,009155,52,-0.017,0.212,0.205,0.156,하
KOSPI,009160,52,0.125,-0.11,0.013,-0.097,중
KOSPI,009180,52,0.322,0.156,-0.05,0.277,상
KOSPI,009190,52,0.627,-0.052,-0.135,-0.055,상
KOSPI,009200,52,-0.096,0.363,-0.122,-0.041,하
KOSPI,009240,52,0.097,-0.122,0.087,-0.182,중
KOSPI,009270,52,0.552,0.145,-0.014,-0.195,상
KOSPI,009290,52,-0.461,0.083,0.086,-0.022,하
KOSPI,009310,34,-0.775,0.2,-0.044,0.112,
KOSPI,009320,52,-0.001,-0.086,0.072,-0.138,중
